ledger_number,date,savings_debit,lodgement,savings_balance,shares_balance,loan_debit,loan_repayment,loan_balance,interest_credit,interest_balance,deduction
2,2017-07-15,0,0,1540169.92,25000,0,0,6030274,0,0,0
3,2017-07-15,0,0,2046500,25000,0,0,2655500,0,0,0
9,2024-12-31,50200,500,331215,25000,0,15080,204330,4420,53040,20000
10,2024-12-24,0,500,1029765,25000,0,67830,1662300,6670,80040,75000
12,2021-05-28,0,0,368975,25000,0,0,941910,0,0,0
13,2017-02-28,0,0,49403,25000,0,0,96090,0,0,0
14,2024-12-31,0,30000,1122238,25000,0,0,0,0,8000,30000
15,2024-12-31,0,500,479582,25000,261990,28580,658490,5920,71040,35000
16,2024-05-02,0,0,1145325,25000,0,0,1396710,0,73370,0
19,2024-12-31,0,500,168279,25000,111292.5,17750,231632.5,1750,21000,20000
22,2023-12-31,300120,0,275620,25000,0,0,0,0,22500,0
23,2024-12-31,0,1000,4888863,25000,6000200,24000,5976200,20000,20000,45000
25,2015-08-06,0,0,269000,25000,0,0,600200,0,0,0
26,2017-12-31,0,0,138553,25000,0,0,253900,0,0,0
27,2024-12-31,0,500,193095,25000,100200,18500,180103,3500,42000,22500
29,2024-12-31,0,500,864910,25000,65497.5,45830,1574037.5,3670,44040,50000
30,2024-12-31,0,7480,697230,25000,0,38350,0,4170,50040,50000
32,2024-12-31,0,1000,413082,25000,117576,39000,78576,0,73370,40000
33,2024-12-31,0,500,289015,25000,133125,25000,262525,2500,32750,28000
34,2024-12-31,0,500,2668350,25000,0,22830,3069340,16670,200040,40000
35,2022-11-30,0,0,0,0,0,0,0,0,0,0
36,2024-12-31,0,6280,1017905,25000,0,57720,0,6000,72000,70000
37,2024-12-31,0,50000,2018818,25000,0,0,0,0,18000,50000
40,2022-06-30,0,0,97028,25000,0,0,146200,0,0,0
42,2024-12-31,0,184350,4783797,25000,0,0,0,0,33340,184350
44,2024-11-30,0,0,2353200,25000,0,5000,2476350,5000,93500,10000
45,2023-08-31,0,0,0,0,0,0,0,0,0,0
46,2023-04-30,0,0,0,0,0,0,0,0,0,0
47,2024-09-30,0,0,6327000,25000,0,0,0,0,0,0
48,2023-07-31,0,0,0,0,0,0,0,0,0,0
49,2017-12-31,0,0,90800,25000,0,0,108000,0,0,0
52,2024-12-31,0,500,215060,25000,76999.5,5640,402079.5,3860,46320,10000
53,2024-12-31,0,30000,1080075,25000,0,0,0,0,15000,30000
55,2023-01-31,0,0,0,0,0,0,0,0,0,0
56,2016-11-30,0,0,83700,25000,0,0,192700,0,0,0
57,2024-12-31,0,30000,2609725,25000,0,0,0,0,0,30000
58,2024-12-31,0,500,902970,25000,0,56840,222360,5660,67920,63000
61,2021-04-30,0,0,338965,25000,0,0,925000,0,0,0
62,2024-12-31,0,500,197665,25000,0,16995,148725,2505,30060,20000
67,2013-02-13,0,0,26100,25000,0,0,15600,0,0,0
68,2024-09-30,0,0,2564290,25000,0,0,0,0,0,0
69,2023-06-08,0,0,1343385,25000,0,0,70020,0,46690,0
70,2013-12-31,0,0,722770,25000,0,0,1579870,0,0,0
71,2024-12-31,0,500,176300,25000,0,4500,41930,2000,24000,7000
72,2023-06-30,0,0,0,0,0,0,0,0,0,0
73,2022-11-30,0,0,0,0,0,0,0,0,0,0
74,2022-11-30,0,0,0,0,0,0,0,0,0,0
75,2023-10-31,0,0,0,0,0,0,0,0,0,0
76,2023-05-31,0,0,0,0,0,0,0,0,0,0
78,2017-12-31,0,0,38700,25000,0,0,72120,0,0,0
79,2024-06-30,137000,0,112500,25000,0,0,0,0,3075,0
80,2024-09-30,0,0,353200,25000,21832.5,0,300242.5,0,23240,0
81,2023-01-31,0,0,0,0,0,0,0,0,0,0
82,2023-05-31,0,0,0,0,0,0,0,0,0,0
83,2024-12-31,0,500,612390,25000,287124,45330,569294,4170,50040,50000
84,2024-10-31,1301500,0,1680860,25000,0,0,403860,0,50010,0
85,2019-07-31,0,0,25000,0,0,0,0,0,0,0
86,2024-10-31,0,0,3429620,25000,0,0,400200,0,166700,0
87,2024-12-31,0,500,2370645,25000,428130,61160,905310,13340,160080,75000
88,2024-12-31,0,500,791987,25000,0,50000,418200,5000,60000,55500
89,2024-12-31,0,10000,1235970,25000,0,0,0,0,0,10000
91,2023-09-30,1639845,0,0,0,0,0,0,0,0,0
92,2024-12-31,0,20000,2009300,25000,0,0,0,0,0,20000
94,2024-12-31,0,15000,999740,25000,0,0,0,0,0,15000
95,2022-12-31,0,0,3200,0,0,0,0,0,12000,0
96,2014-12-31,0,0,54700,25000,0,0,0,0,0,0
97,2024-12-31,0,500,285535,25000,21832.5,8560,37552.5,940,11280,10000
98,2024-12-31,0,40000,2269845,25000,0,0,0,0,0,40000
99,2024-12-31,0,500,1000000,25000,0,66830,1450230,6670,66030,74000
101,2015-10-31,0,0,129250,25000,0,0,896160,0,0,0
102,2024-12-31,0,22800,2229375,25000,0,87200,0,10000,120000,120000
103,2024-12-31,0,500,927134,25000,89460,53330,1683000,5670,59355,59500
104,2024-12-31,0,21200,1006040,25000,0,0,0,0,15040,21200
105,2024-12-31,0,500,155154,25000,0,17000,229580,2500,25000,20000
106,2024-09-30,0,0,155515,25000,0,0,217580,0,21880,0
107,2024-12-31,0,500,691800,25000,0,37580,110620,6920,83040,45000
108,2024-12-31,0,500,449800,25000,111292.5,27000,341492,2500,25000,30000
109,2024-12-31,0,5000,691780,25000,0,70830,858540,4170,41700,80000
110,2024-12-31,0,500,434325,25000,0,37750,113250,3750,45000,42000
111,2024-12-31,0,3000,206350,25000,89460,20000,382160,2000,18000,25000
112,2024-12-31,0,5000,654560,25000,0,46000,648200,4000,48000,55000
113,2024-12-31,0,5000,270397,25000,98832,24560,126232,940,9700,30500
114,2024-12-31,0,1000,460560,25000,1000200,44830,955370,4170,37520,50000
115,2017-12-31,0,0,486006,25000,0,0,666550,0,0,0
116,2018-07-31,0,0,10000,0,0,0,0,0,0,0
117,2024-12-31,0,500,128440,25000,0,13875,44700,625,13000,15000
118,2014-04-30,0,0,0,0,0,0,5900,0,0,0
121,2013-01-01,0,0,138950,25000,0,0,215500,0,0,0
122,2024-12-31,0,2000,622689,25000,0,43830,334016,4170,50040,50000
123,2024-12-31,0,1000,553070,25000,0,44830,910540,4170,32340,50000
124,2024-12-31,0,500,740750,25000,133125,63477,424786,9940,119280,73917
126,2024-06-30,272890,0,248390,25000,0,0,0,0,800,0
128,2024-09-30,0,0,66740,25000,0,0,99398,0,16200,0
129,2024-12-31,0,500,254920,25000,0,22495,201440,5005,60060,28000
130,2023-12-31,588320,0,0,0,0,0,0,0,0,0
131,2024-12-31,0,500,983170,25000,0,39200,1725800,6670,71690,46370
132,2024-12-31,0,500,614180,25000,0,41700,192380,4170,50040,46370
133,2024-12-31,0,5000,570430,25000,0,0,0,0,0,5000
134,2024-01-31,327555,0,0,0,0,0,0,0,0,0
135,2024-12-31,0,500,2026028,25000,0,32830,868880,4170,23350,37500
136,2024-12-31,0,5000,880820,25000,0,22600,279250,2400,28800,30000
137,2024-12-31,0,500,848364,25000,0,42080,726430,7420,89040,50000
139,2024-09-30,2648300,0,2623800,25000,0,0,0,0,0,0
