ledger_number,date,savings_debit,lodgement,savings_balance,shares_balance,loan_debit,loan_repayment,loan_balance,interest_credit,interest_balance,deduction
2,2017-07-15,0,0,1540169.92,25000,0,0,6030274,0,0,0
3,2017-07-15,0,0,2046500,25000,0,0,2655500,0,0,0
9,2024-11-30,0,500,380915,25000,0,15080,219410,4420,48620,20000
10,2024-11-30,0,1000,1029265,25000,0,135660,1730130,13340,73370,150000
12,2021-05-28,0,0,368975,25000,0,0,941910,0,0,0
13,2017-02-29,0,0,49403,25000,0,0,96090,0,0,0
14,2024-11-30,0,30000,1092238,25000,0,0,0,0,8000,30000
15,2024-11-30,0,500,478582,25000,0,28580,453660,5920,59200,35000
16,2024-05-02,0,0,1145325,25000,0,0,1396710,0,73370,0
19,2024-11-30,0,500,167779,25000,0,17750,138090,1750,19250,20000
22,2023-12-31,300120,0,275620,25000,0,0,0,0,22500,0
23,2024-11-30,0,445000,4887863,25000,0,0,0,0,0,45000
25,2015-08-06,0,0,269000,25000,0,0,600200,0,0,0
26,2017-12-31,0,0,138553,25000,0,0,253900,0,0,0
27,2024-11-30,0,500,192595,25000,0,18500,98403,3500,38500,22500
29,2024-11-30,0,500,864410,25000,0,45830,1554370,3670,40370,50000
30,2024-11-30,0,500,689750,25000,0,45330,38350,4170,45870,50000
32,2024-11-30,0,11812,412082,25000,0,21518,0,6670,73370,40000
33,2024-11-30,0,500,288515,25000,0,25000,154400,2500,30250,28000
34,2024-11-30,0,500,2667850,25000,0,22830,3092170,16670,183370,40000
35,2022-11-30,0,0,0,0,0,0,0,0,0,0
36,2024-11-30,0,5000,1011625,25000,0,59000,57720,6000,66000,70000
37,2024-11-30,0,50000,1968818,25000,0,0,0,0,18000,50000
40,2022-06-30,0,0,97028,25000,0,0,146200,0,0,0
42,2024-11-30,0,184350,4599447,25000,0,0,0,0,33340,184350
44,2024-11-30,0,0,2353200,25000,0,5000,2476350,5000,88500,10000
45,2023-08-31,0,0,0,0,0,0,0,0,0,0
46,2023-04-30,0,0,0,0,0,0,0,0,0,0
47,2024-09-30,0,0,6327000,25000,0,0,0,0,0,0
48,2023-07-31,0,0,0,0,0,0,0,0,0,0
49,2017-12-31,0,0,90800,25000,0,0,108000,0,0,0
52,2024-11-30,0,500,214560,25000,0,5640,325080,3860,42460,10000
53,2024-11-30,0,30000,1050075,25000,0,0,0,0,15000,30000
55,2023-01-31,0,0,0,0,0,0,0,0,0,0
56,2016-11-30,0,0,83700,25000,0,0,192700,0,0,0
57,2024-11-30,0,30000,2579725,25000,0,0,0,0,0,30000
58,2024-11-30,0,500,902470,25000,0,56840,279200,5660,62260,63000
61,2021-04-30,0,0,338965,25000,0,0,925000,0,0,0
62,2024-11-30,0,500,197165,25000,0,16995,165720,2505,27555,20000
67,2013-02-13,0,0,26100,25000,0,0,15600,0,0,0
68,2024-09-30,0,0,2564290,25000,0,0,0,0,0,0
69,2023-06-08,0,0,1343385,25000,0,0,70020,0,46690,0
70,2013-12-31,0,0,722770,25000,0,0,1579870,0,0,0
71,2024-11-30,0,500,175800,25000,0,4500,46430,2000,22000,7000
72,2023-06-30,0,0,0,0,0,0,0,0,0,0
73,2022-11-30,0,0,0,0,0,0,0,0,0,0
74,2022-11-30,0,0,0,0,0,0,0,0,0,0
75,2023-10-31,0,0,0,0,0,0,0,0,0,0
76,2023-05-31,0,0,0,0,0,0,0,0,0,0
78,2017-12-31,0,0,38700,25000,0,0,72120,0,0,0
79,2024-06-30,137000,0,112500,25000,0,0,0,0,3075,0
80,2024-09-30,0,0,353200,25000,0,0,278410,0,23240,0
81,2023-01-31,0,0,0,0,0,0,0,0,0,0
82,2023-05-31,0,0,0,0,0,0,0,0,0,0
83,2024-11-30,0,500,611890,25000,0,45330,327500,4170,45870,50000
84,2024-10-31,1301500,0,1680860,25000,0,0,403860,0,50010,0
85,2019-07-31,0,0,25000,0,0,0,0,0,0,0
86,2024-10-31,0,0,3429620,25000,0,0,400200,0,166700,0
87,2024-11-30,0,500,2370145,25000,0,61160,538340,13340,146740,75000
88,2024-11-30,0,500,791487,25000,0,50000,468200,5000,55000,55500
89,2024-11-30,0,10000,1225970,25000,0,0,0,0,0,10000
91,2023-09-30,1639845,0,0,0,0,0,0,0,0,0
92,2024-11-30,0,20000,1989300,25000,0,0,0,0,0,20000
94,2024-11-30,0,15000,984740,25000,0,0,0,0,0,15000
95,2022-12-31,0,0,3200,0,0,0,0,0,12000,0
96,2014-12-31,0,0,54700,25000,0,0,0,0,0,0
97,2024-11-30,0,500,285035,25000,0,8560,24280,940,10340,10000
98,2024-11-30,0,40000,2229845,25000,0,0,0,0,0,40000
99,2024-11-30,0,500,999500,25000,0,66830,1517060,6670,52690,74000
101,2015-10-31,0,0,129250,25000,0,0,896160,0,0,0
102,2024-11-30,0,500,2206575,25000,0,109500,87200,10000,110000,120000
103,2024-11-30,0,500,926634,25000,0,53330,1646870,5670,53685,59500
104,2024-11-30,0,21200,984840,25000,0,0,0,0,15040,21200
105,2024-11-30,0,500,154654,25000,0,17000,246580,2500,22500,20000
106,2024-09-30,0,0,155515,25000,0,0,217580,0,21880,0
107,2024-11-30,0,500,691300,25000,0,37580,148200,6920,76120,45000
108,2024-11-30,0,500,449300,25000,0,27000,257200,2500,22500,30000
109,2024-11-30,0,5000,686780,25000,1000200,70830,929370,4170,37530,80000
110,2024-11-30,0,500,433825,25000,0,37750,151000,3750,41250,42000
111,2024-11-30,0,3000,203350,25000,0,20000,312700,2000,16000,25000
112,2024-11-30,0,5000,649560,25000,0,46000,694200,4000,44000,55000
113,2024-11-30,0,5000,265397,25000,0,24560,51960,940,8760,30500
114,2024-11-30,0,50000,459560,25000,0,0,0,0,33350,50000
115,2017-12-31,0,0,486006,25000,0,0,666550,0,0,0
116,2018-07-31,0,0,10000,0,0,0,0,0,0,0
117,2024-11-30,0,500,127940,25000,0,13875,58575,625,12375,15000
118,2014-04-30,0,0,0,0,0,0,5900,0,0,0
121,2013-01-01,0,0,138950,25000,0,0,215500,0,0,0
122,2024-11-30,0,2000,620689,25000,0,43830,377846,4170,45870,50000
123,2024-11-30,0,1000,552070,25000,0,44830,955370,4170,28170,50000
124,2024-11-30,0,500,740250,25000,0,63477,355138,9940,109340,73917
126,2024-06-30,272890,0,248390,25000,0,0,0,0,800,0
128,2024-09-30,0,0,66740,25000,0,0,99398,0,16200,0
129,2024-11-30,0,500,254420,25000,0,22495,223935,5005,55053,28000
130,2023-12-31,588320,0,0,0,0,0,0,0,0,0
131,2024-11-30,0,500,982670,25000,0,39200,1765000,6670,65020,46370
132,2024-11-30,0,500,613680,25000,0,41700,234080,4170,37530,46370
133,2024-11-30,0,5000,565430,25000,0,0,0,0,0,5000
134,2024-01-31,327555,0,0,0,0,0,0,0,0,0
135,2024-11-30,0,500,2025528,25000,0,32830,901710,4170,19180,37500
136,2024-11-30,0,5000,875820,25000,0,22600,301850,2400,26400,30000
137,2024-11-30,0,500,847864,25000,0,42080,768510,7420,81620,50000
139,2024-09-30,2648300,0,2623800,25000,0,0,0,0,0,0
141,2024-11-30,0,10000,1790000,25000,0,0,0,0,0,10000
